lx_ft,ly_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
16.0,22.0,50.0,EFM (HC),8.805774278215223,136.06452597794274,234.83491401691788,0.6758663428075355,true,0.023613496181698408,true,18.0,18.0,9.2,4.3999999999999995,13.6,0.031
16.0,22.0,50.0,EFM (ASAP),8.805774278215223,136.06452597794274,234.83491401691788,0.6758663428075355,true,0.023613496181698408,true,18.0,18.0,9.0,4.3999999999999995,13.4,0.036
16.0,22.0,50.0,FEA,8.805774278215223,136.06452597794274,234.83491401691788,0.6825140903453641,true,0.07475848393801637,true,18.0,18.0,6.599999999999999,4.3999999999999995,10.999999999999998,7.583
16.0,22.0,80.0,MDDM,8.805774278215223,162.93618326670926,282.8349140169179,0.9532777029943554,true,0.03778159389071748,true,18.0,20.0,8.2,4.3999999999999995,12.599999999999998,0.063
16.0,22.0,80.0,DDM (Full),8.805774278215223,162.93618326670926,282.8349140169179,0.9532777029943554,true,0.03778159389071748,true,18.0,20.0,8.6,4.3999999999999995,13.0,0.139
16.0,22.0,80.0,EFM (HC),8.805774278215223,163.87596651387068,282.8349140169179,0.8140126852735651,true,0.03778159389071748,true,18.0,18.0,10.6,4.3999999999999995,14.999999999999998,0.038
16.0,22.0,80.0,EFM (ASAP),8.805774278215223,163.87596651387068,282.8349140169179,0.8140126852735651,true,0.03778159389071748,true,18.0,18.0,10.6,4.3999999999999995,14.999999999999998,0.046
16.0,22.0,80.0,FEA,8.805774278215223,163.87596651387068,282.8349140169179,0.8590449753819828,true,0.14290794226225392,true,18.0,18.0,7.2,4.3999999999999995,11.6,7.331
16.0,24.0,40.0,MDDM,9.606299212598428,142.50781817334416,230.72899710936497,0.7471187926190872,true,0.01455072380455583,true,20.0,20.0,7.799999999999999,5.199999999999999,13.0,0.041
16.0,24.0,40.0,DDM (Full),9.606299212598428,142.50781817334416,230.72899710936497,0.7471187926190872,true,0.01455072380455583,true,20.0,20.0,7.999999999999999,5.199999999999999,13.199999999999998,0.047
16.0,24.0,40.0,EFM (HC),9.606299212598428,142.50781817334416,230.72899710936497,0.5888753276432533,true,0.01455072380455583,true,20.0,20.0,9.4,5.199999999999999,14.6,0.039
16.0,24.0,40.0,EFM (ASAP),9.606299212598428,142.50781817334416,230.72899710936497,0.5888753276432533,true,0.01455072380455583,true,20.0,20.0,9.4,5.199999999999999,14.6,0.043
16.0,24.0,40.0,FEA,9.606299212598428,142.50781817334416,230.72899710936497,0.6213136280629854,true,0.0632755327802361,true,20.0,20.0,7.799999999999999,5.199999999999999,13.0,8.202
16.0,24.0,50.0,MDDM,9.606299212598428,152.39008316534574,246.72899710936494,0.798928061638877,true,0.018188404755694776,true,20.0,20.0,7.999999999999999,5.199999999999999,13.199999999999998,0.052
16.0,24.0,50.0,DDM (Full),9.606299212598428,152.39008316534574,246.72899710936494,0.798928061638877,true,0.018188404755694776,true,20.0,20.0,8.2,5.199999999999999,13.4,0.053
16.0,24.0,50.0,EFM (HC),9.606299212598428,152.39008316534574,246.72899710936494,0.6297111365807231,true,0.018188404755694776,true,20.0,20.0,9.8,5.199999999999999,15.0,0.038
16.0,24.0,50.0,EFM (ASAP),9.606299212598428,152.39008316534574,246.72899710936494,0.6297111365807231,true,0.018188404755694776,true,20.0,20.0,9.8,5.199999999999999,15.0,0.098
