floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
flat_plate,24.0,24.0,12.007874015748031,40.0,MDDM,9.606299212598426,338.2647566385405,230.72899710936494,0.9283337212788929,true,0.049108692840375896,true,20.0,25.999999999999996,15.2,5.199999999999999,20.4,0.128
flat_plate,24.0,24.0,12.007874015748031,40.0,DDM (Full),9.606299212598426,338.2647566385405,230.72899710936494,0.9283337212788929,true,0.049108692840375896,true,20.0,25.999999999999996,15.799999999999999,5.199999999999999,21.0,0.076
flat_plate,24.0,24.0,12.007874015748031,40.0,EFM (HC),9.606299212598426,342.74395132638824,230.72899710936494,0.9606309921375586,true,0.049108692840375896,true,20.0,29.999999999999993,19.0,5.199999999999999,24.200000000000003,0.109
flat_plate,24.0,24.0,12.007874015748031,40.0,EFM (ASAP),9.606299212598426,343.3862412859001,230.72899710936494,0.999363814186379,true,0.049108692840375896,true,20.0,27.999999999999993,19.0,5.199999999999999,24.200000000000003,0.176
flat_plate,24.0,24.0,12.007874015748031,40.0,FEA,9.606299212598426,340.82068895401017,230.72899710936494,0.9546583301161402,true,0.08157423399369074,true,20.0,27.999999999999993,15.799999999999999,5.199999999999999,21.0,8.644
flat_plate,24.0,24.0,12.007874015748031,50.0,MDDM,9.606299212598426,361.721869415966,246.7289971093649,0.9927094162567625,true,0.06138586605046984,true,20.0,25.999999999999996,16.0,5.199999999999999,21.200000000000003,0.083
flat_plate,24.0,24.0,12.007874015748031,50.0,DDM (Full),9.606299212598426,361.721869415966,246.7289971093649,0.9927094162567625,true,0.06138586605046984,true,20.0,25.999999999999996,17.0,5.199999999999999,22.2,0.095
flat_plate,24.0,24.0,12.007874015748031,50.0,EFM (HC),9.606299212598426,365.82548887234674,246.7289971093649,0.9669757233893893,true,0.06138586605046984,true,20.0,31.99999999999999,20.2,5.199999999999999,25.4,0.147
flat_plate,24.0,24.0,12.007874015748031,50.0,EFM (ASAP),9.606299212598426,365.82548887234674,246.7289971093649,0.943535647193272,true,0.06138586605046984,true,20.0,31.99999999999999,20.0,5.199999999999999,25.199999999999996,0.178
flat_plate,24.0,24.0,12.007874015748031,50.0,FEA,9.606299212598426,363.0871707879598,246.7289971093649,0.9676102613640838,true,0.10642139446104333,true,20.0,27.999999999999993,16.400000000000002,5.199999999999999,21.6,9.869
flat_plate,24.0,24.0,12.007874015748031,80.0,MDDM,9.606299212598426,423.98471676685637,294.7289971093649,0.9754274805866815,true,0.09821738568075175,true,20.0,29.999999999999993,18.8,5.199999999999999,24.0,0.106
flat_plate,24.0,24.0,12.007874015748031,80.0,DDM (Full),9.606299212598426,423.98471676685637,294.7289971093649,0.9754274805866815,true,0.09821738568075175,true,20.0,29.999999999999993,19.8,5.199999999999999,25.0,0.113
flat_plate,24.0,24.0,12.007874015748031,80.0,EFM (HC),9.606299212598426,431.27890252835954,294.7289971093649,0.9578624073335298,true,0.09821738568075175,true,20.0,35.999999999999986,23.8,5.199999999999999,28.999999999999996,0.244
flat_plate,24.0,24.0,12.007874015748031,80.0,EFM (ASAP),9.606299212598426,431.27890252835954,294.7289971093649,0.9971823100775723,true,0.09821738568075175,true,20.0,35.999999999999986,23.8,5.199999999999999,28.999999999999996,0.297
flat_plate,24.0,24.0,12.007874015748031,80.0,FEA,9.606299212598426,425.60027074669955,294.7289971093649,0.9781680272017592,true,0.30949903898952724,true,20.0,31.99999999999999,19.200000000000003,5.6,24.800000000000004,11.922
flat_plate,28.0,28.0,12.007874015748031,40.0,MDDM,11.194225721784777,589.2447302445804,254.32217832553047,0.9662744382473205,true,0.049108692840375924,true,23.0,30.999999999999993,21.799999999999997,6.8,28.6,0.14
flat_plate,28.0,28.0,12.007874015748031,40.0,DDM (Full),11.194225721784777,589.2447302445804,254.32217832553047,0.9662744382473205,true,0.049108692840375924,true,23.0,30.999999999999993,23.2,6.8,30.0,0.082
flat_plate,28.0,28.0,12.007874015748031,40.0,EFM (HC),11.194225721784777,598.8233969552282,254.32217832553047,1.0,true,0.049108692840375924,true,23.0,34.999999999999986,27.6,6.8,34.400000000000006,0.109
