floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft
flat_slab,32.0,32.0,12.007874015748031,40.0,EFM (ASAP),11.632068718682893,924.9076343771335,260.8275859185679,0.9677009841137311,true,0.06536367017054033,true,26.0,29.999999999999996,40.6,8.799999999999999,49.400000000000006,0.053,4.25,5.331364829396326,5.331364829396326
flat_slab,32.0,32.0,12.007874015748031,40.0,FEA,11.632068718682893,922.3212646949545,260.8275859185679,0.95548197898312,true,0.46389023278928015,true,26.0,29.999999999999996,36.6,9.0,45.6,6.981,4.25,5.331364829396326,5.331364829396326
flat_slab,32.0,32.0,12.007874015748031,50.0,MDDM,11.632068718682893,998.0922867303201,283.84379504332014,0.9805024331773484,true,0.08170458771317536,true,26.0,29.999999999999996,34.6,8.4,43.0,0.052,4.25,5.331364829396326,5.331364829396326
flat_slab,32.0,32.0,12.007874015748031,50.0,DDM (Full),11.632068718682893,998.0922867303201,283.84379504332014,0.9805024331773484,true,0.08170458771317536,true,26.0,29.999999999999996,36.6,8.799999999999999,45.400000000000006,0.051,4.25,5.331364829396326,5.331364829396326
flat_slab,32.0,32.0,12.007874015748031,50.0,EFM (HC),11.632068718682893,977.5283351887088,276.8275859185679,1.0,true,0.08170458771317546,true,26.0,35.99999999999999,41.800000000000004,8.600000000000001,50.400000000000006,0.079,4.25,5.331364829396326,5.331364829396326
flat_slab,32.0,32.0,12.007874015748031,50.0,EFM (ASAP),11.632068718682893,980.2714393715482,276.8275859185679,0.9782385096689891,true,0.0817045877131753,true,26.0,31.999999999999996,43.0,9.0,52.00000000000001,0.132,4.25,5.331364829396326,5.331364829396326
flat_slab,32.0,32.0,12.007874015748031,50.0,FEA,11.632068718682893,976.8431596755734,276.8275859185679,0.9823400914158895,true,0.6388874267358082,true,26.0,31.999999999999996,38.4,9.599999999999998,48.0,7.808,4.25,5.331364829396326,5.331364829396326
flat_slab,32.0,32.0,12.007874015748031,80.0,MDDM,11.632068718682893,1153.7974362831783,331.84379504332014,0.9800365040857303,true,0.1307273403410806,true,26.0,33.99999999999999,40.2,8.4,48.6,0.062,4.25,5.331364829396326,5.331364829396326
flat_slab,32.0,32.0,12.007874015748031,80.0,DDM (Full),11.632068718682893,1153.7974362831783,331.84379504332014,0.9800365040857303,true,0.1307273403410806,true,26.0,33.99999999999999,42.6,10.0,52.6,0.182,4.25,5.331364829396326,5.331364829396326
flat_slab,32.0,32.0,12.007874015748031,80.0,EFM (HC),11.632068718682893,1147.0250272664284,324.8275859185678,0.9999999999999999,true,0.1307273403410806,true,26.0,35.99999999999999,49.8,9.8,59.6,0.061,4.25,5.331364829396326,5.331364829396326
flat_slab,32.0,32.0,12.007874015748031,80.0,EFM (ASAP),11.632068718682893,1147.0250272664284,324.8275859185678,1.0,true,0.13072734034108066,true,26.0,35.99999999999999,50.599999999999994,10.4,61.0,0.089,4.25,5.331364829396326,5.331364829396326
flat_slab,32.0,32.0,12.007874015748031,80.0,FEA,12.5,1185.0491817415127,337.7231827140302,0.9569733638360447,true,0.7182001858716885,true,26.0,35.99999999999999,43.2,10.6,53.800000000000004,13.085,4.25,5.331364829396326,5.331364829396326
flat_slab,36.0,36.0,12.007874015748031,40.0,MDDM,13.087568599379626,1446.1802376278506,289.4694006659511,0.9832534202962641,true,0.06536367017054037,true,28.999999999999996,34.99999999999999,44.2,10.399999999999999,54.6,0.046,4.25,5.9984689413823284,5.9984689413823284
flat_slab,36.0,36.0,12.007874015748031,40.0,DDM (Full),13.087568599379626,1446.1802376278506,289.4694006659511,0.9832534202962641,true,0.06536367017054028,true,28.999999999999996,34.99999999999999,46.99999999999999,11.2,58.199999999999996,0.059,4.25,5.9984689413823284,5.9984689413823284
flat_slab,36.0,36.0,12.007874015748031,40.0,EFM (HC),13.087568599379626,1427.0517061667208,282.4531915411989,1.0,true,0.06536367017054028,true,28.999999999999996,34.99999999999999,54.4,10.8,65.19999999999999,0.046,4.25,5.9984689413823284,5.9984689413823284
flat_slab,36.0,36.0,12.007874015748031,40.0,EFM (ASAP),13.087568599379626,1427.0517061667208,282.4531915411989,1.0,true,0.06536367017054046,true,28.999999999999996,34.99999999999999,55.2,11.399999999999999,66.60000000000001,0.06,4.25,5.9984689413823284,5.9984689413823284
flat_slab,36.0,36.0,12.007874015748031,40.0,FEA,14.0,1489.9719850463982,296.0099646397138,0.9909061804700335,true,0.4139134395002062,true,28.999999999999996,34.99999999999999,45.6,11.799999999999999,57.4,9.645,4.25,5.9984689413823284,5.9984689413823284
flat_slab,36.0,36.0,12.007874015748031,50.0,MDDM,13.087568599379626,1526.1157463510958,305.4694006659512,1.0,true,0.08170458771317529,true,28.999999999999996,34.99999999999999,46.599999999999994,10.399999999999999,57.0,0.147,4.25,5.9984689413823284,5.9984689413823284
flat_slab,36.0,36.0,12.007874015748031,50.0,DDM (Full),13.087568599379626,1526.1157463510958,305.4694006659512,1.0,true,0.08170458771317529,true,28.999999999999996,34.99999999999999,49.4,11.399999999999999,60.8,0.05,4.25,5.9984689413823284,5.9984689413823284
