lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
24.0,24.0,12.007874015748031,50.0,MDDM,9.606299212598426,363.4288979716041,246.7289971093649,0.9962645841999369,true,0.10647467483041063,true,20.0,27.999999999999993,15.999999999999998,5.199999999999999,21.2,8.264
24.0,24.0,12.007874015748031,50.0,DDM (Full),9.606299212598426,363.0871707879598,246.7289971093649,0.9882859831366677,true,0.1018330750410586,true,20.0,29.999999999999993,15.799999999999999,5.199999999999999,21.0,9.738
24.0,24.0,12.007874015748031,50.0,EFM (HC),9.606299212598426,365.82548887234674,246.7289971093649,0.9669757233893893,true,0.06138586605046984,true,20.0,31.99999999999999,19.200000000000003,5.199999999999999,24.4,0.149
24.0,24.0,12.007874015748031,50.0,EFM (ASAP),9.606299212598426,365.82548887234674,246.7289971093649,0.943535647193272,true,0.06138586605046984,true,20.0,31.99999999999999,19.0,5.199999999999999,24.200000000000003,0.179
24.0,24.0,12.007874015748031,50.0,FEA,9.606299212598426,363.4288979716041,246.7289971093649,0.9959799582629844,true,0.10644811724943155,true,20.0,27.999999999999993,16.0,5.199999999999999,21.200000000000003,8.58
24.0,24.0,12.007874015748031,80.0,MDDM,9.606299212598426,425.60027074669955,294.7289971093649,0.9780090833243761,true,0.28363426300501876,true,20.0,31.99999999999999,18.400000000000002,5.6,24.000000000000004,9.881
24.0,24.0,12.007874015748031,80.0,DDM (Full),9.606299212598426,425.60027074669955,294.7289971093649,0.9778199226918144,true,0.2841010774129919,true,20.0,31.99999999999999,18.6,5.6,24.2,10.871
24.0,24.0,12.007874015748031,80.0,EFM (HC),9.606299212598426,431.27890252835954,294.7289971093649,0.9578624073335298,true,0.09821738568075175,true,20.0,35.999999999999986,22.6,5.199999999999999,27.799999999999997,0.334
24.0,24.0,12.007874015748031,80.0,EFM (ASAP),9.606299212598426,431.27890252835954,294.7289971093649,0.9971823100775723,true,0.09821738568075175,true,20.0,35.999999999999986,22.8,5.199999999999999,28.0,0.954
24.0,24.0,12.007874015748031,80.0,FEA,9.606299212598426,424.38831725167194,294.7289971093649,0.9883599932351639,true,0.23701055291454692,true,20.0,33.999999999999986,18.2,5.4,23.599999999999998,11.677
28.0,28.0,12.007874015748031,40.0,MDDM,11.194225721784777,593.0669295464493,254.32217832553047,0.9529634017219616,true,0.10377980926883527,true,23.0,32.99999999999999,21.799999999999997,6.8,28.6,9.121
28.0,28.0,12.007874015748031,40.0,DDM (Full),11.194225721784777,593.0669295464493,254.32217832553047,0.9528896055524377,true,0.09900243714358734,true,23.0,32.99999999999999,22.200000000000003,6.8,29.000000000000004,9.701
28.0,28.0,12.007874015748031,40.0,EFM (HC),11.194225721784777,598.8233969552282,254.32217832553047,1.0,true,0.049108692840375924,true,23.0,34.999999999999986,26.2,6.8,33.0,0.224
28.0,28.0,12.007874015748031,40.0,EFM (ASAP),11.194225721784777,598.8233969552282,254.32217832553047,0.982525937985917,true,0.049108692840375924,true,23.0,34.999999999999986,26.0,6.8,32.8,0.116
28.0,28.0,12.007874015748031,40.0,FEA,11.194225721784777,593.0669295464493,254.32217832553047,0.9528455990440475,true,0.10429301425312089,true,23.0,32.99999999999999,22.0,6.8,28.8,10.49
28.0,28.0,12.007874015748031,50.0,MDDM,11.194225721784777,626.3154872897863,270.32217832553044,0.9552124968995287,true,0.17421437335175097,true,23.0,34.999999999999986,23.0,7.0,29.999999999999996,10.976
28.0,28.0,12.007874015748031,50.0,DDM (Full),11.194225721784777,626.3154872897863,270.32217832553044,0.9547731431140041,true,0.15738819785268549,true,23.0,34.999999999999986,23.0,7.0,29.999999999999996,10.437
